"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-08","0.00","88","100",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-09",,"87","99","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-10","0.02","88",,"81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-11","0.02","89","100","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-12","0.00","89","101","77"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-13","0.00","90","104",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-14","0.00","88","99","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-15","0.00","89","100",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-16","0.00","85","99",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-17","0.20","89","99","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-18","0.00","87","100","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-19","0.00","87","96",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-20",,"89",,"80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-21","0.00","89","98","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-22","0.00","87","99","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-23","0.00","90","104","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-24","0.00","89","101","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-25",,"86","91",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-26","0.00","90",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-27",,"86",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-28",,"81","96",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-29","1.97","80","88","64"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-30","0.00","81","94",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-01",,"81","93","72"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-02","0.00","83","95",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-03","0.00","81",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-04","1.42","85","95","69"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-05","0.08","81","90","71"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-06","0.00","82",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-07","0.20","84","94","70"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-08","1.46","83","92","69"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-09","0.00","84","94",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-10","0.00","85","95","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-11",,"86","96","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-12","0.08","86","96","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-13","0.00","87","96","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-14","0.00","89","97","83"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-15","0.00","87","96","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-16","0.00","89","98",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-17",,"88",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-18","0.00","87","96","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-19","0.00","89",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-20","0.00","89","98","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-21",,"88","96","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-22","0.00","86","97",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-23","0.01","84",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-24","0.20","83",,"75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-25","0.04","87","99","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-26","0.00","86","98",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-27","0.00","87","98",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-28",,"87","96",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-29","0.00","88","96","77"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-30","0.00","88","96","82"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-05-31","0.00","88","96","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-01",,"87","96",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-02","0.00","88","98","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-03",,"90","101","82"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-04",,"85","93",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-05","0.00","84",,"80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-06",,"85","91","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-07","0.08","87","97","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-08","0.00","90","99","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-09","0.00","91","99","85"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-10",,"86","99",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-11","0.00","87","94","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-12",,"86",,"78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-13",,"84","93","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-14",,"83","91","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-15",,"80","87",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-16","2.76","84","90","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-17","0.00","90","99","82"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-18","0.00","91","103","84"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-19","0.00","82","86",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-20",,"81","94",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-21","0.00","87","95","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-22","0.00","88","96","83"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-23",,"84","94",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-24",,"85","92","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-25","0.16","84","90","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-26","0.00","84","90","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-27","0.39","83","90","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-28","0.24","84","90","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-29","0.02","81","87",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-06-30","3.50","81","84","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-01","0.12","81","88","77"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-02","0.00","79","84","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-03","0.08","84","89","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-04","0.20","84","91","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-05","0.00","83","98","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-06","0.35","81","86","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-07","0.31","83","89","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-08","0.00","82","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-09","0.16","81","85",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-10","0.02","82","88","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-11","0.00","82","89","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-12","0.20","82",,"77"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-13","0.00","83","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-14","0.28","84","91","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-15","0.16","82","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-16","0.47","82","89","77"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-17","0.51","81","88","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-18","0.08","83","90","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-19","0.00","84","89","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-20","0.00","83","90",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-21",,"83","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-22",,"82","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-23",,"83","90","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-24",,"82","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-25","2.91","81","85","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-26","0.00","85","91",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-27","0.00","85","92","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-28",,"85","91","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-29","0.02","81","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-30","0.00","86","92",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-07-31","0.00","86","93","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-01",,"83","90","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-02","0.16","83","89","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-03","0.55","83","89","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-04","0.39","81","85","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-05","0.08","83","89","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-06","0.15","82",,"78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-07","0.51","81","89","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-08","0.24","84","90","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-09","0.01","86","94","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-10","0.00","85","94",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-11","0.00","87","95","82"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-12","0.00","88","94","82"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-13","0.00","86","93","82"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-14","0.20","84","90",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-15","0.04","85","90","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-16","0.20","85","90","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-17","0.08","85","93","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-18","0.08","82","91",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-19","0.00","83","87",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-20","0.59","85","91","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-21","0.51","85","89","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-22","0.00","85",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-23","1.54","84","90",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-24","0.00","83","91",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-25","0.16","81","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-26","0.00","81","86",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-27","0.98","83","90","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-28","1.10","83","91","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-29","0.00","84","90",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-30","0.35","83","90","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-08-31","0.00","82",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-01","0.35","84","91","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-02","0.03","84","99","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-03","0.08","83","88","81"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-04","0.28","82","93",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-05","0.00","82","92",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-06","1.02","84","93","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-07","0.00","85","94","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-08","0.01","84","92","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-09","0.24","82","90","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-10","0.08","82","88","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-11","0.43","81","87","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-12","0.00","81","89",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-13","0.04","84","92","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-14","0.00","81",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-15","1.14","79","84","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-16","0.94","83","91","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-09-17","0.00","84","92","78"
